trace_id,span_id,service,operation,source_field,value
ad751c71717eccb5e88a22dad3df93e8,2d2400ebea89a37a,ts-consign-service,GET /api/v1/consignservice/consigns/account/{id},http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
ad751c71717eccb5e88a22dad3df93e8,3798d98c662b8b98,ts-gateway-service,GET,http.url,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
ad751c71717eccb5e88a22dad3df93e8,3798d98c662b8b98,ts-gateway-service,GET,http.url,16111
ad751c71717eccb5e88a22dad3df93e8,41a1a7e94dfdd528,ts-gateway-service,GET /*,http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
1492687f2240e71872664c33b906078e,9c46a04fada39a0c,ts-gateway-service,POST,http.url,12032
a6db210ac3e04d05231b96888873c31e,1556731bf2ba3ba0,ts-gateway-service,GET,http.url,18767
a6db210ac3e04d05231b96888873c31e,8f6c860dfa01774d,ts-admin-basic-info-service,GET,http.url,12345
e7a1a94694cd96c3e4ffda6ef9e6aba8,1ea3f9e0690beccf,ts-gateway-service,POST,http.url,16112
e7a1a94694cd96c3e4ffda6ef9e6aba8,effe8d314db46288,ts-admin-order-service,POST,http.url,12032
5e246ebdeb4b76cc1720b6fff4f8607d,e6c9d289ccf513c0,ts-auth-service,GET,http.url,15678
5e246ebdeb4b76cc1720b6fff4f8607d,33ccfd0e5eb63bce,ts-gateway-service,POST,http.url,12340
95cadab7b8fc74514b6c45a72699ddde,a1f962b9f6414b8d,ts-gateway-service,GET,http.url,15678
8aecfe69f1f2626a9b00eac386a1d776,8f055e340809236d,ts-gateway-service,GET,http.url,14567
c604cbe51d71b84db8a8f7bf350d937e,e6a994c75d47beb2,ts-gateway-service,POST,http.url,16346
b7dba88e541d106c92d89bb9a193f465,90b4432abb3ead82,ts-gateway-service,GET,http.url,18767
b7dba88e541d106c92d89bb9a193f465,176c047b6e2af7e1,ts-admin-basic-info-service,GET,http.url,12345
e0388b083356549728f600538eb594ea,3efcb4b87c28792b,ts-gateway-service,POST,http.url,12031
b7ec788ae8579f598462e64d7de0697a,b0e626557a9d449f,ts-gateway-service,POST,http.url,18767
b7ec788ae8579f598462e64d7de0697a,2973092073dfaa83,ts-admin-basic-info-service,POST,http.url,12345
3cf9346a297b1205457918534b775f61,7b811e975f8bece8,ts-gateway-service,GET,http.url,14567
e181326eec00835e8a10a73885484d18,ce12b2050167f179,ts-gateway-service,POST,http.url,12031
35c8a7f37764f323bd2f4132e95628be,c8843a688070b334,ts-gateway-service,GET,http.url,16112
35c8a7f37764f323bd2f4132e95628be,f0f508aac9c8871f,ts-admin-order-service,GET,http.url,12032
35c8a7f37764f323bd2f4132e95628be,1a3f1269944e10a5,ts-admin-order-service,GET,http.url,12031
a095d8ca93c66c76b74ad029e1c33d5e,13024267a4bc9ba2,ts-gateway-service,GET,http.url,15678
a416c35c471cbd3805ce2f29b00da9cf,e297fefddc60a5f0,ts-gateway-service,GET,http.url,16113
a416c35c471cbd3805ce2f29b00da9cf,826c0883933eca7c,ts-admin-route-service,GET,http.url,11178
583970561575fb40d8c5390be3a2c060,e5eee1e45d9194c2,ts-admin-route-service,GET,http.url,11178
583970561575fb40d8c5390be3a2c060,0238dd36a3b02683,ts-gateway-service,GET,http.url,16113
92de829f8ce43b995496b170dc331f46,16aab35898adbf91,ts-gateway-service,GET,http.url,12342
0507e0fc236ad76af350fad42afd5747,1068e40b9aa6a0c3,ts-gateway-service,POST,http.url,12031
f9a8a6e99facee756b11026f6535c617,476480bf2d0506c5,ts-gateway-service,POST,http.url,12031
dd9c516a7c951d9e2688ba68544f605e,0c05a878898bd2a1,ts-admin-order-service,GET,http.url,12031
dd9c516a7c951d9e2688ba68544f605e,2dbe0f82cf481a60,ts-admin-order-service,GET,http.url,12032
dd9c516a7c951d9e2688ba68544f605e,012cce67fb40f1e6,ts-gateway-service,GET,http.url,16112
44826ff66297a58b1f0bc5690e1aeb09,d4ce8c8048c7094a,ts-gateway-service,POST,http.url,12032
83b72a164bf28f0617d4cf371abfb56f,30a25df5f0f13c3c,ts-gateway-service,GET,http.url,15678
7afaad6ddf31bf43dcabea0a9f0b898b,9c631f9cd3a54239,ts-gateway-service,GET,http.url,18767
7afaad6ddf31bf43dcabea0a9f0b898b,d333e69bda389ffd,ts-admin-basic-info-service,GET,http.url,12345
b3597ff985cd874eb90e0462e4b823fb,4668581bda5712ae,ts-admin-route-service,POST,http.url,12345
b3597ff985cd874eb90e0462e4b823fb,16b4445539c152d6,ts-admin-route-service,POST,http.url,11178
b3597ff985cd874eb90e0462e4b823fb,cdb84e111fad43e8,ts-gateway-service,POST,http.url,16113
cbc30097745bcbb7d73742584762b10a,9c322fbb1d5e556d,ts-gateway-service,GET,http.url,15678
ed181080ea3ce0d60a95a5abcea19a41,420c531ec9566767,ts-gateway-service,POST,http.url,12031
0e6a132b14a551c7e4bbbee3a212d4ed,0fe8b3b4e0f20f02,ts-gateway-service,GET,http.url,12342
55c513b733c8ff8295dc6b4c22779ed6,2cd9b1ad991b9a30,ts-gateway-service,POST,http.url,16113
55c513b733c8ff8295dc6b4c22779ed6,d649d3bdca7c07b7,ts-admin-route-service,POST,http.url,12345
55c513b733c8ff8295dc6b4c22779ed6,0bd9262e4649599a,ts-admin-route-service,POST,http.url,11178
b1b1fae2671ccde52fd81616b2d90246,fcef064e5a91660b,ts-gateway-service,POST,http.url,12031
545b4f8c08b6e67ec19d2fafbf1f8caf,22a84acaa208026a,ts-gateway-service,POST,http.url,12031
ec6affc0cf1f2692ee3d61bb4637bbc1,c650e914ad13118b,ts-auth-service,GET,http.url,15678
ec6affc0cf1f2692ee3d61bb4637bbc1,df40d77e1ed858f2,ts-gateway-service,POST,http.url,12340
6476b39c143d7ba9bdc7bb70aa6013d3,5698e91049208150,ts-admin-basic-info-service,POST,http.url,12345
6476b39c143d7ba9bdc7bb70aa6013d3,f99ad992948e11e4,ts-gateway-service,POST,http.url,18767
6c264566647c62c472ea157b753449cb,55a7920f4bf9549d,ts-gateway-service,POST,http.url,16346
c24daec82ab955950e726529c4e765af,45941f86dbea63d8,ts-consign-service,GET /api/v1/consignservice/consigns/order/{id},http.target,df2b3a56-3043-481d-87b1-6c347ccc5816
c24daec82ab955950e726529c4e765af,60be1080f4ab1ea3,ts-gateway-service,GET,http.url,16111
c24daec82ab955950e726529c4e765af,60be1080f4ab1ea3,ts-gateway-service,GET,http.url,df2b3a56-3043-481d-87b1-6c347ccc5816
